title,url,price,source
 Classic Collection Blastoise Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-classic-collection-blastoise-deck-p78371,N/A,HillsCards
 Classic Collection : Charizard Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-classic-collection-charizard-deck-p78370,N/A,HillsCards
 Gardevoir ex League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-gardevoir-ex-league-battle-deck-p78164,25.95,HillsCards
 My First Battle Set : Pikachu & Bulbasaur Decks,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-my-first-battle-set-pikachu-bulbasaur-decks-p76094,N/A,HillsCards
 My First Battle Set Bundle : One of Each Deck:  Pikachu & Bulbasaur and Charmander & Squirtle,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-my-first-battle-set-bundle-of-both-designs-p76095,N/A,HillsCards
 My First Battle Set : Charmander & Squirtle Decks,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-my-first-battle-set-charmander-squirtle-decks-p76093,N/A,HillsCards
 Chien-Pao EX Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-chien-pao-ex-battle-deck-p74482,13.75,HillsCards
 Tinkaton EX Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-tinkaton-ex-battle-deck-p74481,13.75,HillsCards
 Tinkaton & Chien-Pao EX Battle Deck Bundle (Set of Both),https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-tinkaton-chien-pao-ex-battle-deck-bundle-set-of-both-p74480,25.50,HillsCards
 Lucario ex Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-lucario-ex-battle-deck-p73872,N/A,HillsCards
 World Championship 2022 Deck : Sebastian Lashmet,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-world-championship-2022-deck-sebastian-lashmet-p73097,N/A,HillsCards
 World Championship 2022 Deck : Rikuto Ohashi,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-world-championship-2022-deck-rikuto-ohashi-p73098,N/A,HillsCards
 World Championship 2022 Deck : André Chiasson,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-world-championship-2022-deck-andré-chiasson-p73099,N/A,HillsCards
 World Championship 2022 Deck : Ondrej Škubal,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-world-championship-2022-deck-ondrej-škubal-p73100,N/A,HillsCards
 World Championship 2022 Deck Bundle : One of Each Design,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-world-championship-2022-deck-bundle-one-of-each-design-p73096,N/A,HillsCards
 Mew VMAX League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-mew-vmax-league-battle-deck-p72567,N/A,HillsCards
 Deoxys & Zeraora V Battle Deck Bundle | Both Decks,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-deoxys-zeraora-v-battle-deck-bundle-both-decks-p71921,23.50,HillsCards
 Pokemon GO Mewtwo V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-pokemon-go-mewtwo-v-battle-deck-p69776,N/A,HillsCards
 Rapid Strike Urshifu League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-rapid-strike-urshifu-league-battle-deck-p67343,N/A,HillsCards
 Single Strike Urshifu League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-single-strike-urshifu-league-battle-deck-p67342,N/A,HillsCards
 Rayquaza V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-rayquaza-v-battle-deck-p66880,N/A,HillsCards
 Noivern vs Rayquaza V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-noivern-vs-rayquaza-v-battle-deck-p66881,24.95,HillsCards
 Noivern V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-noivern-v-battle-deck-p66879,N/A,HillsCards
 Sun & Moon Team Up Theme Deck Bundle | Both Blastoise & Charizard,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-sun-moon-team-up-theme-deck-bundle-both-blastoise-charizard-p66831,N/A,HillsCards
 Inteleon VMAX League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-inteleon-vmax-league-battle-deck-p65413,25.95,HillsCards
 Victini V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-victini-v-battle-deck-p65189,N/A,HillsCards
 Victini vs Gardevoir V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-victini-vs-gardevoir-v-battle-deck-p65190,N/A,HillsCards
 Gardevoir V Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-gardevoir-v-battle-deck-p65188,N/A,HillsCards
 Zacian V League Battle Deck,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-zacian-v-league-battle-deck-p63411,N/A,HillsCards
 Sword & Shield Vivid Voltage Theme Deck | Charizard,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-sword-shield-vivid-voltage-theme-deck-charizard-p62675,N/A,HillsCards
 Sword & Shield Darkness Ablaze Theme Deck | Galarian Darmanitan,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-sword-shield-darkness-ablaze-theme-deck-galarian-darmanitan-p61157,N/A,HillsCards
 Sword & Shield Darkness Ablaze Theme Deck | Galarian Sirfetch&#039;d,https://www.hillscards.co.uk//trading-card-games-c78/sealed-products-c92/decks-c97/pokemon-trading-card-game-sword-shield-darkness-ablaze-theme-deck-galarian-sirfetchd-p61158,N/A,HillsCards
 Mega Charizard Ex – Tin,https://invictatcg.co.uk/product/english-mega-charizard-ex-tin/,35.99,Invicta
  Mega Venusaur – Premium Collection,https://invictatcg.co.uk/product/english-mega-venusaur-premium-collection/,59.99 Original price was: £59.99.£44.99Current price is: £44.99.,Invicta
 Ascended Heroes – Mini Tin,https://invictatcg.co.uk/product/english-ascended-heros-mini-tin/,22.99,Invicta
 Bloodmoon Ursuluna – Ex Box,https://invictatcg.co.uk/product/english-bloodmoon-ursuluna-ex-box/,33.99,Invicta
 Mega Kangaskhan – Ex Box,https://invictatcg.co.uk/product/english-mega-kangaskhan-ex-box/,39.99 Original price was: £39.99.£26.99Current price is: £26.99.,Invicta
 Prismatic – Poster Collection,https://invictatcg.co.uk/product/english-prismatic-poster-collection/,39.99,Invicta
 Pokémon Day 2026 Collection,https://invictatcg.co.uk/product/english-pokemon-day-2026-collection/,24.99,Invicta
 Phantasmal Flames – Checklane Blister,https://invictatcg.co.uk/product/englsih-phantasmal-flames-checklane-blister/,8.99,Invicta
 Prismatic – Binder Collection,https://invictatcg.co.uk/product/english-prismatic-binder-collection/,69.99,Invicta
 Surging Sparks – Sleeved Booster Pack,https://invictatcg.co.uk/product/english-surging-sparks-sleeved-booster-pack/,6.49,Invicta
 Illustration Victini Black Bolt & White Flare – Collection Box,https://invictatcg.co.uk/product/english-illustration-victini-black-bolt-white-flare-collection-box/,37.99,Invicta
 Ascended Heroes – 3 Pack Blister,https://invictatcg.co.uk/product/english-ascended-heroes-3-pack-blister/,32.99,Invicta
 Mega Battle Decks – Diancie ex,https://invictatcg.co.uk/product/english-mega-battle-decks-diancie-ex/,21.99,Invicta
 Phantasmal Flames – 3-Pack Blister,https://invictatcg.co.uk/product/english-phantasmal-flames-3-pack-blister/,24.99,Invicta
 Phantasmal Flames – Sleeved Boosters,https://invictatcg.co.uk/product/english-phantasmal-flames-sleeved-boosters/,7.99,Invicta
 Team Rocket’s Moltres – Ultra-Premium Collection,https://invictatcg.co.uk/product/english-team-rockets-moltres-ultra-premium-collection/,189.99,Invicta
Mystery Card Bundle - Guaranteed V Card!,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mystery-card-bundle-guaranteed-v-card,7.95,TotalCards
Sword & Shield - Champions Path - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-champions-path-elite-trainer-box,149.95,TotalCards
Scarlet & Violet - Destined Rivals - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-destined-rivals-booster-pack,12.95,TotalCards
Shining Fates - Pikachu V Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-pikachu-v-box,49.95,TotalCards
Scarlet & Violet - Journey Together - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-journey-together-booster-pack,6.95,TotalCards
Sword & Shield - Fusion Strike - Booster Box (36 Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-fusion-strike-booster-box-36-boosters,129.95,TotalCards
Mega Evolution - Base Set - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-base-set-booster-pack,9.95,TotalCards
Charizard ex - Premium Collection Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-charizard-ex-premium-collection-box,49.95,TotalCards
Scarlet & Violet - Base Set - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-base-set-booster-pack,7.45,TotalCards
Sword & Shield - Vivid Voltage - Booster Box - (36 Packs),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-vivid-voltage-booster-box-36-packs,139.95,TotalCards
Sword & Shield - Fusion Strike - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-fusion-strike-booster-pack,14.95,TotalCards
Sword & Shield - Battle Styles - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-battle-styles-booster-pack,15.95,TotalCards
Scarlet & Violet - Paldean Fates - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-elite-trainer-box,209.95,TotalCards
Sword & Shield - Battle Styles - Booster Box (36 Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-battle-styles-booster-box-36-boosters,199.95,TotalCards
Mega Evolution - Phantasmal Flames - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-phantasmal-flames-booster-pack,9.95,TotalCards
Sword & Shield - Darkness Ablaze - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-darkness-ablaze-booster-pack,9.95,TotalCards
Scarlet & Violet - Paradox Rift - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paradox-rift-booster-pack,6.95,TotalCards
Scarlet & Violet - Obsidian Flames - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-obsidian-flames-booster-pack,9.95,TotalCards
Sword & Shield - Vivid Voltage - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-vivid-voltage-booster-pack,9.95,TotalCards
Sword & Shield - Lost Origin - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-lost-origin-booster-pack,14.95,TotalCards
Scarlet & Violet - Base Set - Booster Box (36 Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-base-set-booster-box-36-boosters,194.95,TotalCards
Sword & Shield - Evolving Skies - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-evolving-skies-booster-pack,54.95,TotalCards
Scarlet & Violet - Paldea Evolved - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldea-evolved-booster-pack,9.95,TotalCards
Celebrations - Dragapult Prime Collection,https://totalcards.net/collections/view-all-pokemon/products/pokemon-celebrations-dragapult-prime-collection,39.95,TotalCards
Sword & Shield - Silver Tempest - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-silver-tempest-booster-pack,16.95,TotalCards
Sword & Shield - Silver Tempest - Booster Box (36 Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-silver-tempest-booster-box-36-boosters,129.95,TotalCards
Shining Fates - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-booster-pack,18.95,TotalCards
Sword & Shield - Chilling Reign - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-chilling-reign-booster-pack,12.95,TotalCards
Scarlet & Violet - Obsidian Flames - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-obsidian-flames-elite-trainer-box,169.95,TotalCards
Trick or Trade 2023 - BOOster Bundle (50 Mini Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-trick-or-trade-2023-booster-bundle-50-mini-boosters,22.95,TotalCards
Scarlet & Violet - Temporal Forces - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-temporal-forces-booster-pack,6.95,TotalCards
Trick or Trade 2023 - BOOster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-trick-or-trade-2023-booster-pack,1.95,TotalCards
Sword & Shield - Astral Radiance - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-astral-radiance-booster-pack,10.95,TotalCards
Pokemon Go - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pokemon-go-elite-trainer-box,99.95,TotalCards
Scarlet & Violet - Paldean Fates - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-booster-pack,16.95,TotalCards
Scarlet & Violet - 151 - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-elite-trainer-box,309.95,TotalCards
Sword & Shield - Darkness Ablaze - Booster Box (36 packs),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-darkness-ablaze-booster-box-36-packs,139.95,TotalCards
Sword & Shield - Astral Radiance - Booster Box (36 Boosters),https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-astral-radiance-booster-box-36-boosters,129.95,TotalCards
Mystery Card Bundle - Guaranteed ex Card (2023),https://totalcards.net/collections/view-all-pokemon/products/pokemon-mystery-card-bundle-guaranteed-ex-card-2023,7.95,TotalCards
Scarlet & Violet - Black Bolt - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-black-bolt-booster-pack,10.95,TotalCards
Sword & Shield - Rebel Clash - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-rebel-clash-booster-pack,10.95,TotalCards
Scarlet & Violet - White Flare - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-white-flare-booster-pack,10.95,TotalCards
Scarlet & Violet - Surging Sparks - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-surging-sparks-booster-pack,9.95,TotalCards
Sword & Shield - Fusion Strike - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-fusion-strike-elite-trainer-box,79.95,TotalCards
Celebrations - Pikachu VMAX Premium Figure Collection,https://totalcards.net/collections/view-all-pokemon/products/pokemon-celebrations-pikachu-vmax-premium-figure-collection,199.95,TotalCards
Sword & Shield - Ultra Premium Collection - Charizard,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-ultra-premium-collection-charizard,389.95,TotalCards
Sword & Shield - Lost Origin - Elite Trainer Box,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-lost-origin-elite-trainer-box,149.95,TotalCards
Shining Fates - Premium Collection -  Shiny Crobat VMAX,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-premium-collection-shiny-crobat-vmax,89.95,TotalCards
Scarlet & Violet - Stellar Crown - Booster Pack,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-stellar-crown-booster-pack,7.95,TotalCards
Scarlet & Violet - 151 - Ultra Premium Collection,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-ultra-premium-collection,149.95,TotalCards
Scarlet & Violet - 151 - Alakazam ex Collection,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-alakazam-ex-collection,33.95,TotalCards
"Sword & Shield - Evolving Skies - Elite Trainer Box - Leafeon, Umbreon, Jolteon & Flareon",https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-evolving-skies-elite-trainer-box-leafeon-umbreon-jolteon-flareon,199.95,TotalCards
"Sword & Shield - Evolving Skies - Elite Trainer Box - Sylveon, Espeon, Glaceon & Vaporeon",https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-evolving-skies-elite-trainer-box-sylveon-espeon-glaceon-vaporeon,199.95,TotalCards
